Price,Close,High,Low,Open,Volume
Ticker,BEL.NS,BEL.NS,BEL.NS,BEL.NS,BEL.NS
Date,,,,,
2011-12-14,11.943540573120117,12.042573400483446,11.812293369682788,11.931609350537354,1709433
2011-12-15,11.882288932800293,11.955469885438044,11.346559359259183,11.533886346258871,2250369
2011-12-16,11.693772315979004,12.011153961424693,11.54979781977389,11.947518268987487,438372
2011-12-19,11.181903839111328,12.002401082803873,11.105144345768734,11.93399276759598,6148296
2011-12-20,11.030374526977539,11.239576092977195,10.897535940969451,11.191849699860839,2848329
2011-12-21,11.068156242370605,11.237983313811448,10.897136574584037,11.144121174969177,759627
2011-12-22,11.072930335998535,11.199802918915019,10.937704321093912,10.96117023279951,2133351
2011-12-23,11.127817153930664,11.175941581757025,10.937706137875411,11.13577180342406,1196316
2011-12-26,11.182700157165527,11.215710592705058,11.065770142545256,11.1361663701811,234036
2011-12-27,10.993785858154297,11.215713983151492,10.897536996872569,11.215713983151492,985644
2011-12-28,10.785774230957031,11.056622767301452,10.679186310830607,10.920999482741708,2078010
2011-12-29,10.719756126403809,11.048670970444846,10.499816676250468,10.818788208401761,3265713
2011-12-30,10.74083423614502,11.111908259569951,10.26118435735666,10.555497367372878,6083154
2012-01-02,10.757936477661133,10.93730810375916,10.666858300644368,10.778219630865577,1220472
2012-01-03,11.044296264648438,11.187873491179891,10.746801217213152,10.976285959922725,910008
2012-01-04,11.253097534179688,11.355710402140106,10.950035324462608,10.950035324462608,2594493
2012-01-05,11.224860191345215,11.279347886308823,11.104351611452644,11.136168706332638,2890008
2012-01-06,11.186677932739258,11.311164575518621,10.978273203866694,11.20735986840227,1299870
2012-01-09,11.43883228302002,11.565704867569039,11.13577009703305,11.136167378843586,2407680
2012-01-10,11.488550186157227,11.629343440155639,11.374802142205011,11.438835124104626,1932183
2012-01-11,11.699736595153809,12.014730748420583,11.470251905423154,11.532296959344638,2196909
2012-01-12,11.64803695678711,11.812295380982572,11.557754077814725,11.812295380982572,1283535
2012-01-13,12.09189224243164,12.166663852024362,11.820249798047893,11.820249798047893,10851489
2012-01-16,11.935982704162598,12.063252569712798,11.836155323577346,11.86797316546755,6820110
2012-01-17,12.018315315246582,12.210016249464426,11.971384225333171,12.130472742091063,2515392
2012-01-18,11.92802906036377,12.153934480098041,11.73274813766386,11.931609102969164,863973
2012-01-19,11.882288932800293,12.17103391769682,11.788825582191524,12.105013048824599,1795959
2012-01-20,11.673489570617676,12.106607173001512,11.541843574618477,12.050926127920576,4376097
2012-01-23,11.65201187133789,11.811497632770227,11.629342022095807,11.810304285177114,21287376
2012-01-24,11.58718490600586,11.848089471539604,11.533890552154219,11.848089471539604,4397778
2012-01-25,11.381163597106934,11.664737952733523,11.224859110759212,11.65320401287311,4678839
2012-01-27,11.409006118774414,11.728773751467187,11.31912202413806,11.380768311544378,7253235
2012-01-30,11.042305946350098,11.604284760333542,10.98026163841394,11.286108571864283,4742397
2012-01-31,11.178326606750488,11.374004809951893,11.056624685140102,11.057021966978844,6508854
2012-02-01,11.042132377624512,11.358583070048638,10.943591696488319,11.104221221111098,8898516
2012-02-02,11.30931282043457,11.352174288081997,10.975636907473417,10.975636907473417,2880009
2012-02-03,11.457521438598633,11.679437232030647,11.25683593154426,11.407850979504754,3248586
2012-02-06,11.764760971069336,11.808022564544732,11.297695359335973,11.297695359335973,3207006
2012-02-07,11.875319480895996,12.033144323759846,11.616550910536198,11.616550910536198,10230858
2012-02-08,12.297922134399414,12.36882289961739,11.93740880737439,12.049168127849093,20086308
2012-02-09,12.375633239746094,12.694087639051359,12.306334500599379,12.327965679430152,4753683
2012-02-10,12.270282745361328,12.719722306688213,12.218608602136294,12.719722306688213,4707351
2012-02-13,12.313141822814941,12.41769048276804,12.270281115568993,12.273886059197938,3108402
2012-02-14,12.247450828552246,12.457750083340574,12.169339417440767,12.457750083340574,4160277
2012-02-15,12.147706985473633,12.377634479787435,12.033143745612382,12.329566040432205,33524568
2012-02-16,12.144502639770508,12.468163961363066,12.137291995843968,12.225417213780949,2533410
2012-02-17,11.993486404418945,12.428104464499905,11.947019999848623,12.177347595494359,4326300
2012-02-21,11.933403015136719,12.216606704148266,11.880927856145476,12.216606704148266,9758232
2012-02-22,11.977066993713379,12.160528117523674,11.888940241860608,11.937009447997381,9610128
2012-02-23,12.199380874633789,13.12269577678925,12.097235254003913,12.097235254003913,13890393
2012-02-24,11.75955581665039,12.37763663359969,11.632975066730365,12.199383247865967,32773851
2012-02-27,11.956235885620117,12.016321821264771,11.696665521045082,11.817638407035764,11494494
2012-02-28,12.535861015319824,12.581125528353585,12.017121965669952,12.017121965669952,7401141
2012-02-29,12.962069511413574,13.162754323048711,12.535861625500175,12.535861625500175,12570624
2012-03-01,12.766589164733887,13.699517806984137,12.658435550521599,12.738148985596048,5155821
2012-03-02,12.660037994384766,13.298947396028684,12.32235623932825,13.098661966217456,4220568
2012-03-05,12.482985496520996,12.850310102370905,12.417692589109642,12.817864091431428,2027718
